Dia,Cliente,Conocim.,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont
2025-01-29,Dmc Import Group S.R...,TS2411084,ZTRZ-938025-0,Contenedor,1,0,PLZA,Pendiente,
2025-01-29,Bisora Group Sa,NESHTR2411156,LXPG-821135-3,Contenedor,1,0,PLZA,Pendiente,
2025-01-29,Transcargo Brasil...,OH-24120082,XJPQ-693073-5,Bultos,10,-9,IA5,Pendiente,1226.0
2025-01-29,Transcargo Brasil...,OH-24120082,HLOT-693073-5,Bultos,10,-9,IA5,Pendiente,1226.0
2025-01-29,Transcargo Brasil...,OH-24120082,DRQN-693073-5,Bultos,10,-9,IA5,Pendiente,1226.0
2025-01-29,Transcargo Brasil...,OH-24120082,GONJ-693073-5,Bultos,10,-9,IA5,Pendiente,1226.0
2025-01-29,Poka S.A.,TS2411204,HQBS-990108-0,Contenedor,1,0,PLZA,Pendiente,
2025-01-29,Poka S.A.,TS2411204,MZCV-750770-1,Contenedor,1,0,PLZA,Pendiente,
2025-01-29,Mac Donald Hermanos ...,BATT0576,WBMO-871599-3,Bultos,624,-52,CTNNAC,Pendiente,1214.0
2025-01-30,Transport Van Int. Co S.A,LIFBUE24120015,BHYK-058709-0,Bultos,108,-25,EP-IM,Pendiente,1156.0
2025-01-30,Danisco Brasil Sa,CL-1848.2984,             ,Pallets,2,-4,PLZA,Pendiente,
2025-01-30,Laboratorio Pyam Sa,MEDUQW539538,KWSG-139505-1,Bultos,448,-21,NV1,Pendiente,1008.0
2025-01-30,Alsina Motos Srl,YANBUE241412,XMLJ-827765-6,Bultos,45,-7,IB8,Pendiente,1247.0
2025-01-30,Alsina Motos Srl,YANBUE241412,PYIZ-827765-6,Bultos,45,-7,IB8,Pendiente,1247.0
2025-01-30,Alsina Motos Srl,YANBUE241412,DDXG-827765-6,Bultos,50,-8,IB8,Pendiente,1247.0
2025-01-30,Alsina Motos Srl,YANBUE241412,TZLP-827765-6,Bultos,50,-8,IB8,Pendiente,1247.0
2025-01-30,Alsina Motos Srl,YANBUE241412,OEMT-827765-6,Bultos,74,-12,IB8,Pendiente,1247.0
